id,month,region,state,coal,gas,diesel,thermal_total,nuclear,hydro,res,grand_total
20,Jan-2019,Western,Gujarat,15492.00,7551.41,0.00,23043.41,440.00,1990.00,7882.85,33356.26
21,Jan-2019,Western,Madhya Pradesh,18325.00,0.00,0.00,18325.00,0.00,2235.00,4310.45,24870.45
22,Jan-2019,Western,Maharashtra,25226.00,3207.08,0.00,28433.08,1400.00,3047.00,9283.78,42163.86
23,Jan-2019,Southern,Andhra Pradesh,11590.00,4880.40,36.80,16507.20,0.00,1610.00,7281.68,25398.88
24,Jan-2019,Southern,Karnataka,9480.00,0.00,153.12,9633.12,880.00,3644.20,12953.24,27110.56
25,Jan-2019,Southern,Kerala,0.00,533.58,159.96,693.54,0.00,1856.50,413.01,2963.05
26,Jan-2019,Southern,Lakshadweep,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.75
27,Jan-2019,Southern,Puducherry,0.00,32.50,0.00,32.50,0.00,0.00,1.73,34.23
28,Jan-2019,Southern,Tamil Nadu,12760.00,1027.18,211.70,13998.88,2440.00,2178.20,11934.38,30551.46
29,Jan-2019,Southern,Telangana,7482.50,0.00,0.00,7482.50,0.00,2405.60,3805.83,13693.93
30,Jan-2019,North Eastern,Arunachal Pradesh,0.00,0.00,0.00,0.00,0.00,515.00,112.49,627.49
31,Jan-2019,North Eastern,Assam,500.00,643.70,0.00,1143.70,0.00,350.00,50.79,1544.49
32,Jan-2019,North Eastern,Manipur,0.00,0.00,36.00,36.00,0.00,105.00,8.04,149.04
33,Jan-2019,North Eastern,Meghalaya,0.00,0.00,0.00,0.00,0.00,322.00,31.11,353.11
34,Jan-2019,North Eastern,Mizoram,0.00,0.00,0.00,0.00,0.00,60.00,36.67,96.67
35,Jan-2019,North Eastern,Nagaland,0.00,0.00,0.00,0.00,0.00,75.00,31.67,106.67
36,Jan-2019,North Eastern,Tripura,0.00,1132.10,0.00,1132.10,0.00,0.00,21.10,1153.20
37,Feb-2019,Northern,Chandigarh,0.00,0.00,0.00,0.00,0.00,0.00,32.40,32.40
38,Feb-2019,Northern,Delhi,135.00,2208.40,0.00,2343.40,0.00,0.00,176.21,2519.61
39,Feb-2019,Northern,Haryana,5540.00,431.59,0.00,5971.59,0.00,0.00,414.49,6386.08
40,Feb-2019,Northern,Himachal Pradesh,0.00,0.00,0.00,0.00,0.00,9809.02,865.11,10674.13
41,Feb-2019,Northern,Jammu and Kashmir,0.00,175.00,0.00,175.00,0.00,3449.00,193.41,3817.41
42,Feb-2019,Northern,Punjab,5680.00,0.00,0.00,5680.00,0.00,1096.30,1282.42,8058.72
43,Feb-2019,Northern,Rajasthan,8500.00,1023.13,0.00,9523.13,1180.00,411.00,7584.76,18698.89
44,Feb-2019,Northern,Uttar Pradesh,21749.00,1493.14,0.00,23242.14,440.00,501.60,2884.93,27068.67
45,Feb-2019,Northern,Uttarakhand,0.00,450.00,0.00,450.00,0.00,3756.35,591.59,4797.94
46,Feb-2019,Eastern,Andaman & Nicobar Islands,0.00,0.00,40.05,40.05,0.00,0.00,11.81,51.86
47,Feb-2019,Eastern,Bihar,5480.00,0.00,0.00,5480.00,0.00,0.00,326.15,5806.15
48,Feb-2019,Eastern,Jharkhand,4590.00,0.00,0.00,4590.00,0.00,210.00,36.46,4836.46
49,Feb-2019,Eastern,Odisha,7680.00,0.00,0.00,7680.00,0.00,2142.25,505.30,10327.55
50,Feb-2019,Eastern,Sikkim,0.00,0.00,0.00,0.00,0.00,2169.00,52.12,2221.12
51,Feb-2019,Eastern,West Bengal,14275.00,100.00,0.00,14375.00,0.00,1341.20,468.06,16184.26
52,Feb-2019,Western,Chhatisgarh,22968.00,0.00,0.00,22968.00,0.00,120.00,535.35,23623.35
53,Feb-2019,Western,Dadra & Nagar Haveli,0.00,0.00,0.00,0.00,0.00,0.00,5.46,5.46
54,Feb-2019,Western,Daman & Diu,0.00,0.00,0.00,0.00,0.00,0.00,14.47,14.47
55,Feb-2019,Western,Goa,0.00,48.00,0.00,48.00,0.00,0.00,1.74,49.74
56,Feb-2019,Western,Gujarat,15492.00,7551.41,0.00,23043.41,440.00,1990.00,8079.90,33553.31
57,Feb-2019,Western,Madhya Pradesh,18325.00,0.00,0.00,18325.00,0.00,2235.00,4374.09,24934.09
58,Feb-2019,Western,Maharashtra,25226.00,3207.08,0.00,28433.08,1400.00,3047.00,9301.55,42181.63
59,Feb-2019,Southern,Andhra Pradesh,11590.00,4880.40,36.80,16507.20,0.00,1610.00,7529.21,25646.41
60,Feb-2019,Southern,Karnataka,9480.00,0.00,153.12,9633.12,880.00,3644.20,13026.94,27184.26
61,Feb-2019,Southern,Kerala,0.00,533.58,159.96,693.54,0.00,1856.50,413.01,2963.05
62,Feb-2019,Southern,Lakshadweep,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.75
63,Feb-2019,Southern,Puducherry,0.00,32.50,0.00,32.50,0.00,0.00,1.80,34.30
64,Feb-2019,Southern,Tamil Nadu,12660.00,1027.18,211.70,13898.88,2440.00,2178.20,12072.43,30589.51
65,Feb-2019,Southern,Telangana,7482.50,0.00,0.00,7482.50,0.00,2405.60,3979.18,13867.28
66,Feb-2019,North Eastern,Arunachal Pradesh,0.00,0.00,0.00,0.00,0.00,515.00,112.49,627.49
67,Feb-2019,North Eastern,Assam,500.00,643.70,0.00,1143.70,0.00,350.00,52.76,1546.46
68,Feb-2019,North Eastern,Manipur,0.00,0.00,36.00,36.00,0.00,105.00,8.68,149.68
69,Feb-2019,North Eastern,Meghalaya,0.00,0.00,0.00,0.00,0.00,322.00,31.15,353.15
70,Feb-2019,North Eastern,Mizoram,0.00,0.00,0.00,0.00,0.00,60.00,36.97,96.97
71,Feb-2019,North Eastern,Nagaland,0.00,0.00,0.00,0.00,0.00,75.00,31.67,106.67
72,Feb-2019,North Eastern,Tripura,0.00,1132.10,0.00,1132.10,0.00,0.00,21.10,1153.20
73,Mar-2019,Northern,Chandigarh,0.00,0.00,0.00,0.00,0.00,0.00,34.71,34.71
74,Mar-2019,Northern,Delhi,135.00,2208.40,0.00,2343.40,0.00,0.00,178.89,2522.29
75,Mar-2019,Northern,Haryana,5540.00,431.59,0.00,5971.59,0.00,0.00,419.42,6391.01
76,Mar-2019,Northern,Himachal Pradesh,0.00,0.00,0.00,0.00,0.00,9809.02,883.29,10692.31
77,Mar-2019,Northern,Jammu and Kashmir,0.00,175.00,0.00,175.00,0.00,3449.00,193.86,3817.86
78,Mar-2019,Northern,Punjab,5680.00,0.00,0.00,5680.00,0.00,1096.30,1282.42,8058.72
79,Mar-2019,Northern,Rajasthan,9160.00,1023.13,0.00,10183.13,1180.00,411.00,7669.66,19443.79
80,Mar-2019,Northern,Uttar Pradesh,21749.00,1493.14,0.00,23242.14,440.00,501.60,2942.70,27126.44
81,Mar-2019,Northern,Uttarakhand,0.00,450.00,0.00,450.00,0.00,3756.35,594.07,4800.42
82,Mar-2019,Eastern,Andaman & Nicobar Islands,0.00,0.00,40.05,40.05,0.00,0.00,16.98,57.03
83,Mar-2019,Eastern,Bihar,5730.00,0.00,0.00,5730.00,0.00,0.00,326.15,6056.15
84,Mar-2019,Eastern,Jharkhand,4590.00,0.00,0.00,4590.00,0.00,210.00,39.00,4839.00
85,Mar-2019,Eastern,Odisha,7680.00,0.00,0.00,7680.00,0.00,2142.25,509.76,10332.01
86,Mar-2019,Eastern,Sikkim,0.00,0.00,0.00,0.00,0.00,2169.00,52.12,2221.12
87,Mar-2019,Eastern,West Bengal,14287.00,100.00,0.00,14387.00,0.00,1341.20,474.45,16202.65
88,Mar-2019,Western,Chhatisgarh,23328.00,0.00,0.00,23328.00,0.00,120.00,535.35,23983.35
89,Mar-2019,Western,Dadra & Nagar Haveli,0.00,0.00,0.00,0.00,0.00,0.00,5.46,5.46
90,Mar-2019,Western,Daman & Diu,0.00,0.00,0.00,0.00,0.00,0.00,14.47,14.47
91,Mar-2019,Western,Goa,0.00,48.00,0.00,48.00,0.00,0.00,3.97,51.97
92,Mar-2019,Western,Gujarat,15492.00,7551.41,0.00,23043.41,440.00,1990.00,8639.80,34113.21
93,Mar-2019,Western,Madhya Pradesh,19785.00,0.00,0.00,19785.00,0.00,2235.00,4564.36,26584.36
94,Mar-2019,Western,Maharashtra,25886.00,3207.08,0.00,29093.08,1400.00,3047.00,9315.53,42855.61
95,Mar-2019,Southern,Andhra Pradesh.,11590.00,4880.40,36.80,16507.20,0.00,1610.00,7739.60,25856.80
96,Mar-2019,Southern,Karnataka,9480.00,0.00,153.12,9633.12,880.00,3644.20,13829.79,27987.11
97,Mar-2019,Southern,Kerala,0.00,533.58,159.96,693.54,0.00,1856.50,413.11,2963.15
98,Mar-2019,Southern,Lakshadweep,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.75
99,Mar-2019,Southern,Puducherry,0.00,32.50,0.00,32.50,0.00,0.00,3.14,35.64
100,Mar-2019,Southern,Tamil Nadu,12660.00,1027.18,211.70,13898.88,2440.00,2178.20,12646.88,31163.96
101,Mar-2019,Southern,Telangana,7182.50,0.00,0.00,7182.50,0.00,2405.60,3987.66,13575.76
102,Mar-2019,North Eastern,Arunachal Pradesh,0.00,0.00,0.00,0.00,0.00,515.00,136.50,651.50
103,Mar-2019,North Eastern,Assam,750.00,643.70,0.00,1393.70,0.00,350.00,56.51,1800.21
104,Mar-2019,North Eastern,Manipur,0.00,0.00,36.00,36.00,0.00,105.00,8.89,149.89
105,Mar-2019,North Eastern,Meghalaya,0.00,0.00,0.00,0.00,0.00,322.00,32.65,354.65
106,Mar-2019,North Eastern,Mizoram,0.00,0.00,0.00,0.00,0.00,60.00,36.97,96.97
107,Mar-2019,North Eastern,Nagaland,0.00,0.00,0.00,0.00,0.00,75.00,31.67,106.67
108,Mar-2019,North Eastern,Tripura,0.00,1132.10,0.00,1132.10,0.00,0.00,21.10,1153.20
109,Apr-2019,Northern,Chandigarh,0.00,0.00,0.00,0.00,0.00,0.00,34.71,34.71
110,Apr-2019,Northern,Delhi,135.00,2208.40,0.00,2343.40,0.00,0.00,178.89,2522.29
111,Apr-2019,Northern,Haryana,5540.00,431.59,0.00,5971.59,0.00,0.00,419.42,6391.01
112,Apr-2019,Northern,Himachal Pradesh,0.00,0.00,0.00,0.00,0.00,9809.02,883.29,10692.31
113,Apr-2019,Northern,Jammu and Kashmir,0.00,175.00,0.00,175.00,0.00,3449.00,193.86,3817.86
114,Apr-2019,Northern,Punjab,5680.00,0.00,0.00,5680.00,0.00,1096.30,1282.42,8058.72
115,Apr-2019,Northern,Rajasthan,9160.00,1023.13,0.00,10183.13,1180.00,411.00,7669.66,19443.79
116,Apr-2019,Northern,Uttar Pradesh,21749.00,1493.14,0.00,23242.14,440.00,501.60,2942.70,27126.44
117,Apr-2019,Northern,Uttarakhand,0.00,450.00,0.00,450.00,0.00,3756.35,594.07,4800.42
118,Apr-2019,Eastern,Andaman & Nicobar Islands,0.00,0.00,40.05,40.05,0.00,0.00,16.98,57.03
119,Apr-2019,Eastern,Bihar,5730.00,0.00,0.00,5730.00,0.00,0.00,326.15,6056.15
120,Apr-2019,Eastern,Jharkhand,4590.00,0.00,0.00,4590.00,0.00,210.00,39.00,4839.00
121,Apr-2019,Eastern,Odisha,7680.00,0.00,0.00,7680.00,0.00,2142.25,509.76,10332.01
122,Apr-2019,Eastern,Sikkim,0.00,0.00,0.00,0.00,0.00,2169.00,52.12,2221.12
123,Apr-2019,Eastern,West Bengal,14287.00,100.00,0.00,14387.00,0.00,1341.20,474.45,16202.65
124,Apr-2019,Western,Chhatisgarh,23328.00,0.00,0.00,23328.00,0.00,120.00,535.35,23983.35
125,Apr-2019,Western,Dadra & Nagar Haveli,0.00,0.00,0.00,0.00,0.00,0.00,5.46,5.46
126,Apr-2019,Western,Daman & Diu,0.00,0.00,0.00,0.00,0.00,0.00,14.47,14.47
127,Apr-2019,Western,Goa,0.00,48.00,0.00,48.00,0.00,0.00,3.97,51.97
128,Apr-2019,Western,Gujarat,15492.00,7551.41,0.00,23043.41,440.00,1990.00,8639.80,34113.21
129,Apr-2019,Western,Madhya Pradesh,19785.00,0.00,0.00,19785.00,0.00,2235.00,4564.36,26584.36
130,Apr-2019,Western,Maharashtra,25886.00,3207.08,0.00,29093.08,1400.00,3047.00,9315.53,42855.61
131,Apr-2019,Southern,Andhra Pradesh.,11590.00,4880.40,36.80,16507.20,0.00,1610.00,7739.60,25856.80
132,Apr-2019,Southern,Karnataka,9480.00,0.00,153.12,9633.12,880.00,3644.20,13829.79,27987.11
133,Apr-2019,Southern,Kerala,0.00,533.58,159.96,693.54,0.00,1856.50,413.11,2963.15
134,Apr-2019,Southern,Lakshadweep,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.75
135,Apr-2019,Southern,Puducherry,0.00,32.50,0.00,32.50,0.00,0.00,3.14,35.64
136,Apr-2019,Southern,Tamil Nadu,12660.00,1027.18,211.70,13898.88,2440.00,2178.20,12646.88,31163.96
137,Apr-2019,Southern,Telangana,7182.50,0.00,0.00,7182.50,0.00,2405.60,3987.66,13575.76
138,Apr-2019,North Eastern,Arunachal Pradesh,0.00,0.00,0.00,0.00,0.00,515.00,136.50,651.50
139,Apr-2019,North Eastern,Assam,750.00,643.70,0.00,1393.70,0.00,350.00,56.51,1800.21
140,Apr-2019,North Eastern,Manipur,0.00,0.00,36.00,36.00,0.00,105.00,8.89,149.89
141,Apr-2019,North Eastern,Meghalaya,0.00,0.00,0.00,0.00,0.00,322.00,32.65,354.65
142,Apr-2019,North Eastern,Mizoram,0.00,0.00,0.00,0.00,0.00,60.00,36.97,96.97
143,Apr-2019,North Eastern,Nagaland,0.00,0.00,0.00,0.00,0.00,75.00,31.67,106.67
144,Apr-2019,North Eastern,Tripura,0.00,1132.10,0.00,1132.10,0.00,0.00,21.10,1153.20
145,May-2019,Northern,Chandigarh,0.00,0.00,0.00,0.00,0.00,0.00,34.71,34.71
146,May-2019,Northern,Delhi,135.00,2208.40,0.00,2343.40,0.00,0.00,178.89,2522.29
147,May-2019,Northern,Haryana,5540.00,431.59,0.00,5971.59,0.00,0.00,419.42,6391.01
148,May-2019,Northern,Himachal Pradesh,0.00,0.00,0.00,0.00,0.00,9809.02,883.29,10692.31
149,May-2019,Northern,Jammu and Kashmir,0.00,175.00,0.00,175.00,0.00,3449.00,194.86,3818.86
150,May-2019,Northern,Punjab,5680.00,0.00,0.00,5680.00,0.00,1096.30,1282.42,8058.72
151,May-2019,Northern,Rajasthan,9160.00,1023.13,0.00,10183.13,1180.00,411.00,7881.07,19655.20
152,May-2019,Northern,Uttar Pradesh,21749.00,1493.14,0.00,23242.14,440.00,501.60,2942.70,27126.44
153,May-2019,Northern,Uttarakhand,0.00,450.00,0.00,450.00,0.00,3756.35,594.07,4800.42
154,May-2019,Eastern,Andaman & Nicobar Islands,0.00,0.00,40.05,40.05,0.00,0.00,16.98,57.03
155,May-2019,Eastern,Bihar,5730.00,0.00,0.00,5730.00,0.00,0.00,326.15,6056.15
156,May-2019,Eastern,Jharkhand,4590.00,0.00,0.00,4590.00,0.00,210.00,40.52,4840.52
157,May-2019,Eastern,Odisha,7680.00,0.00,0.00,7680.00,0.00,2142.25,509.76,10332.01
158,May-2019,Eastern,Sikkim,0.00,0.00,0.00,0.00,0.00,2169.00,52.12,2221.12
159,May-2019,Eastern,West Bengal,14287.00,100.00,0.00,14387.00,0.00,1341.20,474.45,16202.65
160,May-2019,Western,Chhatisgarh,23328.00,0.00,0.00,23328.00,0.00,120.00,535.35,23983.35
161,May-2019,Western,Dadra & Nagar Haveli,0.00,0.00,0.00,0.00,0.00,0.00,5.46,5.46
162,May-2019,Western,Daman & Diu,0.00,0.00,0.00,0.00,0.00,0.00,14.47,14.47
163,May-2019,Western,Goa,0.00,48.00,0.00,48.00,0.00,0.00,3.97,51.97
164,May-2019,Western,Gujarat,15492.00,7551.41,0.00,23043.41,440.00,1990.00,8723.12,34196.53
165,May-2019,Western,Madhya Pradesh,19785.00,0.00,0.00,19785.00,0.00,2235.00,4664.36,26684.36
166,May-2019,Western,Maharashtra,25886.00,3207.08,0.00,29093.08,1400.00,3047.00,9315.53,42855.61
167,May-2019,Southern,Andhra Pradesh.,11590.00,4880.40,36.80,16507.20,0.00,1610.00,7745.19,25862.39
168,May-2019,Southern,Karnataka,9480.00,0.00,153.12,9633.12,880.00,3644.20,13891.08,28048.40
169,May-2019,Southern,Kerala,0.00,533.58,159.96,693.54,0.00,1856.50,413.11,2963.15
170,May-2019,Southern,Lakshadweep,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.75
171,May-2019,Southern,Puducherry,0.00,32.50,0.00,32.50,0.00,0.00,3.14,35.64
172,May-2019,Southern,Tamil Nadu,12660.00,1027.18,211.70,13898.88,2440.00,2178.20,12893.45,31410.53
173,May-2019,Southern,Telangana,7182.50,0.00,0.00,7182.50,0.00,2405.60,3994.37,13582.47
174,May-2019,North Eastern,Arunachal Pradesh,0.00,0.00,0.00,0.00,0.00,515.00,136.50,651.50
175,May-2019,North Eastern,Assam,750.00,643.70,0.00,1393.70,0.00,350.00,56.51,1800.21
176,May-2019,North Eastern,Manipur,0.00,0.00,36.00,36.00,0.00,105.00,8.89,149.89
177,May-2019,North Eastern,Meghalaya,0.00,0.00,0.00,0.00,0.00,322.00,32.65,354.65
178,May-2019,North Eastern,Mizoram,0.00,0.00,0.00,0.00,0.00,60.00,36.97,96.97
179,May-2019,North Eastern,Nagaland,0.00,0.00,0.00,0.00,0.00,75.00,31.67,106.67
180,May-2019,North Eastern,Tripura,0.00,1132.10,0.00,1132.10,0.00,0.00,21.10,1153.20
181,Jun-2019,Northern,Chandigarh,0.00,0.00,0.00,0.00,0.00,0.00,34.71,34.71
182,Jun-2019,Northern,Delhi,135.00,2208.40,0.00,2343.40,0.00,0.00,184.15,2527.55
183,Jun-2019,Northern,Haryana,5540.00,431.59,0.00,5971.59,0.00,0.00,435.17,6406.76
184,Jun-2019,Northern,Himachal Pradesh,0.00,0.00,0.00,0.00,0.00,9809.02,895.64,10704.66
185,Jun-2019,Northern,Jammu and Kashmir,0.00,175.00,0.00,175.00,0.00,3449.00,196.40,3820.40
186,Jun-2019,Northern,Punjab,5680.00,0.00,0.00,5680.00,0.00,1096.30,1282.42,8058.72
187,Jun-2019,Northern,Rajasthan,9160.00,1023.13,0.00,10183.13,1180.00,411.00,7995.67,19769.80
188,Jun-2019,Northern,Uttar Pradesh,21749.00,1493.14,0.00,23242.14,440.00,501.60,3027.70,27211.44
189,Jun-2019,Northern,Uttarakhand,0.00,450.00,0.00,450.00,0.00,3756.35,599.98,4806.33
190,Jun-2019,Eastern,Andaman & Nicobar Islands,0.00,0.00,40.05,40.05,0.00,0.00,16.98,57.03
191,Jun-2019,Eastern,Bihar,5730.00,0.00,0.00,5730.00,0.00,0.00,329.52,6059.52
192,Jun-2019,Eastern,Jharkhand,4590.00,0.00,0.00,4590.00,0.00,210.00,40.52,4840.52
193,Jun-2019,Eastern,Odisha,7680.00,0.00,0.00,7680.00,0.00,2142.25,512.11,10334.36
194,Jun-2019,Eastern,Sikkim,0.00,0.00,0.00,0.00,0.00,2169.00,52.12,2221.12
195,Jun-2019,Eastern,West Bengal,14287.00,100.00,0.00,14387.00,0.00,1341.20,489.14,16217.34
196,Jun-2019,Western,Chhatisgarh,23328.00,0.00,0.00,23328.00,0.00,120.00,535.35,23983.35
197,Jun-2019,Western,Dadra & Nagar Haveli,0.00,0.00,0.00,0.00,0.00,0.00,5.46,5.46
198,Jun-2019,Western,Daman & Diu,0.00,0.00,0.00,0.00,0.00,0.00,15.45,15.45
199,Jun-2019,Western,Goa,0.00,48.00,0.00,48.00,0.00,0.00,4.83,52.83
200,Jun-2019,Western,Gujarat,15492.00,7551.41,0.00,23043.41,440.00,1990.00,9312.93,34786.34
201,Jun-2019,Western,Madhya Pradesh,19830.00,0.00,0.00,19830.00,0.00,2235.00,4720.07,26785.07
202,Jun-2019,Western,Maharashtra,25886.00,3207.08,0.00,29093.08,1400.00,3047.00,9325.84,42865.92
203,Jun-2019,Southern,Andhra Pradesh.,11590.00,4880.40,36.80,16507.20,0.00,1610.00,7963.21,26080.41
204,Jun-2019,Southern,Karnataka,9480.00,0.00,153.12,9633.12,880.00,3644.20,13927.74,28085.06
205,Jun-2019,Southern,Kerala,0.00,533.58,159.96,693.54,0.00,1856.50,415.75,2965.79
206,Jun-2019,Southern,Lakshadweep,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.75
207,Jun-2019,Southern,Puducherry,0.00,32.50,0.00,32.50,0.00,0.00,3.20,35.70
208,Jun-2019,Southern,Tamil Nadu,12660.00,1027.18,211.70,13898.88,2440.00,2178.20,13117.35,31634.43
209,Jun-2019,Southern,Telangana,7182.50,0.00,0.00,7182.50,0.00,2405.60,4016.32,13604.42
210,Jun-2019,North Eastern,Arunachal Pradesh,0.00,0.00,0.00,0.00,0.00,515.00,136.50,651.50
211,Jun-2019,North Eastern,Assam,750.00,643.70,0.00,1393.70,0.00,350.00,63.45,1807.15
212,Jun-2019,North Eastern,Manipur,0.00,0.00,36.00,36.00,0.00,105.00,9.09,150.09
213,Jun-2019,North Eastern,Meghalaya,0.00,0.00,0.00,0.00,0.00,322.00,32.65,354.65
214,Jun-2019,North Eastern,Mizoram,0.00,0.00,0.00,0.00,0.00,60.00,37.13,97.13
215,Jun-2019,North Eastern,Nagaland,0.00,0.00,0.00,0.00,0.00,75.00,31.67,106.67
216,Jun-2019,North Eastern,Tripura,0.00,1132.10,0.00,1132.10,0.00,0.00,25.42,1157.52
217,Jul-2019,Northern,Chandigarh,0.00,0.00,0.00,0.00,0.00,0.00,36.57,36.57
218,Jul-2019,Northern,Delhi,135.00,2208.40,0.00,2343.40,0.00,0.00,184.15,2527.55
219,Jul-2019,Northern,Haryana,5540.00,431.59,0.00,5971.59,0.00,0.00,436.95,6408.54
220,Jul-2019,Northern,Himachal Pradesh,0.00,0.00,0.00,0.00,0.00,9809.02,897.09,10706.11
221,Jul-2019,Northern,Jammu and Kashmir,0.00,175.00,0.00,175.00,0.00,3449.00,198.79,3822.79
222,Jul-2019,Northern,Punjab,5680.00,0.00,0.00,5680.00,0.00,1096.30,1323.90,8100.20
223,Jul-2019,Northern,Rajasthan,9160.00,1023.13,0.00,10183.13,1180.00,411.00,8151.50,19925.63
224,Jul-2019,Northern,Uttar Pradesh,21749.00,1493.14,0.00,23242.14,440.00,501.60,3027.70,27211.44
225,Jul-2019,Northern,Uttarakhand,0.00,450.00,0.00,450.00,0.00,3756.35,602.02,4808.37
226,Jul-2019,Eastern,Andaman & Nicobar Islands,0.00,0.00,40.05,40.05,0.00,0.00,16.98,57.03
227,Jul-2019,Eastern,Bihar,6390.00,0.00,0.00,6390.00,0.00,0.00,329.55,6719.55
228,Jul-2019,Eastern,Jharkhand,4590.00,0.00,0.00,4590.00,0.00,210.00,42.25,4842.25
229,Jul-2019,Eastern,Odisha,8340.00,0.00,0.00,8340.00,0.00,2142.25,512.31,10994.56
230,Jul-2019,Eastern,Sikkim,0.00,0.00,0.00,0.00,0.00,2169.00,52.18,2221.18
231,Jul-2019,Eastern,West Bengal,14287.00,100.00,0.00,14387.00,0.00,1341.20,494.53,16222.73
232,Jul-2019,Western,Chhatisgarh,23328.00,0.00,0.00,23328.00,0.00,120.00,535.35,23983.35
233,Jul-2019,Western,Dadra & Nagar Haveli,0.00,0.00,0.00,0.00,0.00,0.00,5.46,5.46
234,Jul-2019,Western,Daman & Diu,0.00,0.00,0.00,0.00,0.00,0.00,15.45,15.45
235,Jul-2019,Western,Goa,0.00,48.00,0.00,48.00,0.00,0.00,4.83,52.83
236,Jul-2019,Western,Gujarat,15492.00,7551.41,0.00,23043.41,440.00,1990.00,9636.14,35109.55
237,Jul-2019,Western,Madhya Pradesh,19830.00,0.00,0.00,19830.00,0.00,2235.00,4824.96,26889.96
238,Jul-2019,Western,Maharashtra,25886.00,3207.08,0.00,29093.08,1400.00,3047.00,9331.65,42871.73
239,Jul-2019,Southern,Andhra Pradesh.,11590.00,4880.40,36.80,16507.20,0.00,1610.00,7964.60,26081.80
240,Jul-2019,Southern,Karnataka,9480.00,0.00,153.12,9633.12,880.00,3644.20,14093.40,28250.72
241,Jul-2019,Southern,Kerala,0.00,533.58,159.96,693.54,0.00,1856.50,425.87,2975.91
242,Jul-2019,Southern,Lakshadweep,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.75
243,Jul-2019,Southern,Puducherry,0.00,32.50,0.00,32.50,0.00,0.00,3.20,35.70
244,Jul-2019,Southern,Tamil Nadu,12660.00,1027.18,211.70,13898.88,2440.00,2178.20,13119.72,31636.80
245,Jul-2019,Southern,Telangana,7182.50,0.00,0.00,7182.50,0.00,2405.60,4016.32,13604.42
246,Jul-2019,North Eastern,Arunachal Pradesh,0.00,0.00,0.00,0.00,0.00,515.00,136.71,651.71
247,Jul-2019,North Eastern,Assam,750.00,643.70,0.00,1393.70,0.00,350.00,75.18,1818.88
248,Jul-2019,North Eastern,Manipur,0.00,0.00,36.00,36.00,0.00,105.00,9.14,150.14
249,Jul-2019,North Eastern,Meghalaya,0.00,0.00,0.00,0.00,0.00,322.00,32.65,354.65
250,Jul-2019,North Eastern,Mizoram,0.00,0.00,0.00,0.00,0.00,60.00,37.87,97.87
251,Jul-2019,North Eastern,Nagaland,0.00,0.00,0.00,0.00,0.00,75.00,31.67,106.67
252,Jul-2019,North Eastern,Tripura,0.00,1132.10,0.00,1132.10,0.00,0.00,25.42,1157.52
253,Aug-2019,Northern,Chandigarh,0.00,0.00,0.00,0.00,0.00,0.00,36.99,36.99
